Alabama,4040389,4447207,4779736,5024279,5039877,0.003104525
Alaska,550043,626933,710231,733391,732673,-0.000979014
Arizona,3665339,5130247,6392017,7151502,7276316,0.017452837
Arkansas,2350624,2673293,2915918,3011524,3025891,0.004770674
California,29811427,33871653,37253956,39538223,39237836,-0.007597382
Colorado,3294473,4302086,5029196,5773714,5812069,0.006643038
Connecticut,3287116,3405650,3574097,3605944,3605597,-9.62E-05
Delaware,666168,783559,897934,989948,1003384,0.01357243
District of Columbia,606900,572086,601723,689545,670050,-0.028272266
Florida,12938071,15982571,18801310,21538187,21781128,0.011279547
Georgia,6478149,8186653,9687653,10711908,10799566,0.008183229
Hawaii,1108229,1211497,1360301,1455271,1441553,-0.009426423
Idaho,1006734,1293957,1567582,1839106,1900923,0.033612527
Illinois,11430602,12419927,12830632,12812508,12671469,-0.011007915
Indiana,5544156,6080827,6483802,6785528,6805985,0.003014799
Iowa,2776831,2926538,3046355,3190369,3193079,0.000849432
Kansas,2477588,2688925,2853118,2937880,2934582,-0.001122578
Kentucky,3686892,4042193,4339367,4505836,4509394,0.000789643
Louisiana,4221826,4469035,4533372,4657757,4624047,-0.007237389
Maine,1227928,1274779,1328361,1362359,1372247,0.007257999
Maryland,4780753,5296647,5773552,6177224,6165129,-0.001957999
Massachusetts,6016425,6349364,6547629,7029917,6984723,-0.00642881
Michigan,9295287,9938823,9883640,10077331,10050811,-0.002631649
Minnesota,4375665,4919631,5303925,5706494,5707390,0.000157014
Mississippi,2575475,2844754,2967297,2961279,2949965,-0.003820646
Missouri,5116901,5596564,5988927,6154913,6168187,0.002156651
Montana,799065,902200,989415,1084225,1104271,0.018488782
Nebraska,1578417,1711230,1826341,1961504,1963692,0.001115471
Nevada,1201675,1998250,2700551,3104614,3143991,0.01268338
New Hampshire,1109252,1235807,1316470,1377529,1388992,0.008321422
New Jersey,7747750,8414764,8791894,9288994,9267130,-0.002353753
New Mexico,1515069,1819017,2059179,2117522,2115877,-0.000776851
New York,17990778,18977026,19378102,20201249,19835913,-0.018084822
North Carolina,6632448,8046346,9535483,10439388,10551162,0.010706949
North Dakota,638800,642237,672591,779094,774948,-0.005321566
Ohio,10847115,11353336,11536504,11799448,11780017,-0.001646772
Oklahoma,3145576,3450451,3751351,3959353,3986639,0.00689153
Oregon,2842337,3421524,3831074,4237256,4246155,0.00210018
Pennsylvania,11882842,12280548,12702379,13002700,12964056,-0.002971998
Rhode Island,1003464,1048259,1052567,1097379,1095610,-0.001612023
South Carolina,3486310,4012023,4625364,5118425,5190705,0.014121532
South Dakota,696004,754858,814180,886667,895376,0.009822177
Tennessee,4877203,5689427,6346105,6910840,6975218,0.00931551
Texas,16986335,20851028,25145561,29145505,29527941,0.013121612
Utah,1722850,2233183,2763885,3271616,3337975,0.020283248
Vermont,562758,608613,625741,643077,645570,0.003876674
Virginia,6189197,7079057,8001024,8631393,8642274,0.001260631
Washington,4866669,5894281,6724540,7705281,7738692,0.004336117
West Virginia,1793477,1808193,1852994,1793716,1782959,-0.005997047
Wisconsin,4891954,5363757,5686986,5893718,5895908,0.000371582
Wyoming,453589,493786,563626,576851,578803,0.003383889
